,user,text,favorite_count,retweet_count,created_at
0,elonmusk,@WallStreetSilv 🔥🔥,4252,228,2023-04-12 08:06:29+00:00
1,elonmusk,@KanekoaTheGreat @DavidSacks Absolutely,919,98,2023-04-12 08:00:06+00:00
2,elonmusk,@alx He has black turtleneck &amp; husky voice – what more do you need!?,3086,236,2023-04-12 07:48:05+00:00
3,elonmusk,@farzyness Yeah,1339,90,2023-04-12 07:42:22+00:00
4,elonmusk,"I said BBC could come Twitter, then, to my surprise, a reporter shows up",26943,2245,2023-04-12 07:41:35+00:00
5,elonmusk,Penetrating deep &amp; hard with @BBC https://t.co/3UXiHB6DAl,25837,4018,2023-04-12 07:25:42+00:00
6,elonmusk,@stillgray @alx The world wants to know!,1476,131,2023-04-12 07:10:57+00:00
7,elonmusk,@alx [NSFW warning],2864,218,2023-04-12 07:09:48+00:00
8,elonmusk,@cb_doge 🤣,2555,161,2023-04-12 06:57:17+00:00
9,elonmusk,@DavidSacks Now we’ll never know if he likes BBC!,2943,207,2023-04-12 06:52:07+00:00
10,elonmusk,@TitterDaily Yeah,6272,368,2023-04-12 05:41:05+00:00
11,elonmusk,Doing a Twitter Spaces interview in 10 mins with the @JamesClayton5 of @BBC,35528,4108,2023-04-12 03:19:16+00:00
12,elonmusk,"@micsolana True, civilization uses a tiny amount of energy. Just seems high to us silly monkeys.

Our sun, which is not particularly special as stars go, turns over 4M tons of mass into energy every second!",24852,2682,2023-04-12 02:29:34+00:00
13,elonmusk,@DavidSacks Amazing,4105,234,2023-04-12 02:22:01+00:00
14,elonmusk,@SmokeAwayyy 😂,3706,245,2023-04-12 02:17:17+00:00
15,elonmusk,@supermariomovie Many people I know love it!,1522,141,2023-04-11 20:21:43+00:00
16,elonmusk,@micsolana So inspiring to see that they have their priorities right,21936,1506,2023-04-11 19:30:27+00:00
17,elonmusk,@ChrisJBakke 🤣,6052,292,2023-04-11 19:06:19+00:00
18,elonmusk,Final date for removing legacy Blue checks is 4/20,168729,14389,2023-04-11 18:55:18+00:00
19,elonmusk,@MuskUniversity Yeah,11752,784,2023-04-11 18:51:55+00:00
20,elonmusk,"@Liv_Boeree @micsolana It’s super easy to get Fentanyl *right now*. People buy it in open air drug markets in SF and take it right in front of you in broad daylight! They don’t even try to hide. I see this almost every time I drive to Twitter.

Just as with alcohol prohibition, people didn’t actually… https://t.co/EcDov1ZWni",4393,465,2023-04-11 18:44:39+00:00
21,elonmusk,@rawsalerts @ellagirwin @stillgray @nicksortor We are going to re-examine this policy,7079,462,2023-04-11 07:41:25+00:00
22,elonmusk,X,173352,16301,2023-04-11 07:03:45+00:00
23,elonmusk,@mgsiegler People give up reporting crime when no action is taken or the criminal is immediately released. They actually call it “catch and release”.,51379,6662,2023-04-11 06:57:10+00:00
24,elonmusk,@disclosetv Phew,51943,1917,2023-04-11 06:24:39+00:00
25,elonmusk,@0xgaut Not totally wrong. Slept on a friend’s couch last weekend.,214878,9734,2023-04-11 06:24:21+00:00
26,elonmusk,@westcoastbill Indeed,5043,265,2023-04-11 06:23:11+00:00
27,elonmusk,@iamharaldur 💯,29295,1062,2023-04-11 06:19:55+00:00
28,elonmusk,@WallStreetSilv Big problem,22882,1557,2023-04-11 03:36:03+00:00
29,elonmusk,@KanekoaTheGreat Good question,83681,6440,2023-04-11 03:16:38+00:00
30,elonmusk,@amuse @96hoya Downtown SF looks like a zombie apocalypse. People who’ve not been there have no idea.,121835,15109,2023-04-11 00:49:33+00:00
31,elonmusk,@JTLonsdale The court proceedings will hopefully illuminate this matter,39252,4280,2023-04-11 00:45:29+00:00
32,elonmusk,@Austen Amazing,7294,421,2023-04-11 00:34:56+00:00
33,elonmusk,We need a VP of Propaganda … errr I mean Public Relations!,143963,12025,2023-04-10 23:11:08+00:00
34,elonmusk,@SmokeAwayyy Sigh,11949,504,2023-04-10 22:58:44+00:00
35,elonmusk,"@pri13420 @investmattallen @ShellenbergerMD @robbysoave Yes, but, more importantly, doing so by massive theft of Twitter data",1869,170,2023-04-10 22:57:48+00:00
36,elonmusk,"@investmattallen @ShellenbergerMD @robbysoave We’re enabling users to post long articles &amp; earn income from subscribers, but we’re not excluding other media. 

Substack was temporarily categorized as “unsafe” when we discovered that they were illegally downloading vast amounts of data to pre-populate their Twitter clone.",981,117,2023-04-10 22:52:23+00:00
37,elonmusk,"@KanekoaTheGreat 2003 is an old survey, so Russian doesn’t dominate as much then as in 2012, but the point remains valid",2588,245,2023-04-10 22:30:36+00:00
38,elonmusk,"@KanekoaTheGreat Almost no one among the cognoscenti even knows this. 

Why does our western press insist on pushing such a lopsided view of the conflict? 

They must either think that the public is too dumb to understand nuance or the press themselves lack a deep understanding.",19660,4025,2023-04-10 22:28:19+00:00
39,elonmusk,@WallStreetSilv Their technology is so ancient. World of Warcraft economy is lightyears better (actually).,25048,2007,2023-04-10 22:20:42+00:00
40,elonmusk,@cb_doge 🤣🤣,27000,693,2023-04-10 22:15:38+00:00
41,elonmusk,@LordTJCrypto Nice,3550,137,2023-04-10 21:08:29+00:00
42,elonmusk,"An advantage of having organizational affiliation on this platform is that you can change your name without losing verification.

More importantly, it helps greatly with reducing impersonation fraud.",64667,6738,2023-04-10 21:04:11+00:00
43,elonmusk,"@micsolana I think we should legalize it. The probability of overdose or a bad batch is greatly reduced if there is actual QA &amp; regulation.

Also, crime flourishes when substances are made illegal. Alcohol is very much a “drug” – it’s just a legacy drug from olden times when we had no… https://t.co/otp0mVe60w",77178,6741,2023-04-10 21:00:56+00:00
44,elonmusk,@PeterDiamandis Your boundless optimism is uplifting!,9373,647,2023-04-10 20:02:46+00:00
45,elonmusk,"Tbh, I’m just hoping a media org that takes itself way too seriously writes a story about Harry Bōlz …",78686,6291,2023-04-10 19:13:38+00:00
46,elonmusk,"@BillyM2k Say that at a party, then spit in their drinks &amp; walk out the room. Baller move.",17646,1083,2023-04-10 18:42:27+00:00
47,elonmusk,"@KnowledgeArchiv The Roman corvus, invented for the Battle of Mylae, would probably have been faster. 

Carthage thought they had the best fleet. Their overconfidence led to their defeat.

https://t.co/PyV5rhG2pO",9791,885,2023-04-10 18:39:54+00:00
48,elonmusk,"On the Internet, I’m only 3 inches tall (best case)",61923,4201,2023-04-10 16:08:05+00:00
